division,p_intdiff,p_intdiff_lwr,p_intdiff_upr,p_inturban,p_inturban_lwr,p_inturban_upr,p_intrural,p_intrural_lwr,p_intrural_upr
New England,.017801067,-.024841936,.060444068,.8757159844731652,.82500607,.92642587,.8579149169959253,.8235994,.89223045
Middle Atlantic,-.019498184,-.090893991,.051897623,.8933779910786599,.83853632,.94821966,.9128761754496431,.85310596,.97264642
East North Central,.00041508704,-.053045642,.053875819,.8625180160511462,.83762813,.8874079,.86210292901344,.81639594,.90780991
West North Central,.07679829,-.02452202,.1781186,.8800498208479332,.84634656,.91375309,.8032515278620034,.71491587,.8915872
South Atlantic,.032563195,-.035406966,.10053335,.8529728601240225,.82631367,.87963206,.8204096643731932,.76279068,.87802869
East South Central,.093347646,-.013953196,.20064849,.7836072686377829,.70541942,.86179513,.6902596203803908,.63497514,.74554414
West South Central,.051023088,-.022965411,.12501159,.8160505389876761,.76406747,.86803365,.7650274509778858,.72123361,.80882126
Mountain North,.05495869,-.061945468,.17186284,.8742213692594452,.81989342,.92854935,.8192626792583458,.73820609,.90031928
Mountain South,.18516979,.071921483,.2984181,.8526603542487706,.81321025,.89211041,.6674905647577248,.5826031,.75237805
Pacific,.034323201,-.045082729,.11372913,.8871091411700179,.86173356,.91248471,.8527859391944319,.77440035,.93117154
