DIVISION,type,avg_temp,se,lwr,upr
1,TEMPGONE,64.610188668,0.3030326462,64.016255595,65.20412174
1,TEMPHOME,68.180107712,0.4450931656,67.307741138,69.052474286
1,TEMPNITE,65.671957991,0.4029086239,64.882271599,66.461644382
2,TEMPGONE,66.488012879,0.2374660571,66.022587959,66.953437798
2,TEMPHOME,69.207601693,0.1964075009,68.822650065,69.592553321
2,TEMPNITE,67.303423368,0.2409210678,66.831226752,67.775619984
3,TEMPGONE,66.83602671,0.1473093842,66.547305623,67.124747798
3,TEMPHOME,69.703463439,0.1764335418,69.357660051,70.049266826
3,TEMPNITE,67.932677267,0.1901703789,67.559950173,68.30540436
4,TEMPGONE,67.178921389,0.2926110532,66.605414263,67.752428515
4,TEMPHOME,69.634451694,0.2093935212,69.224047934,70.044855454
4,TEMPNITE,68.067974799,0.2462958871,67.585243731,68.550705868
5,TEMPGONE,68.546976157,0.1979342096,68.159032235,68.934920079
5,TEMPHOME,70.64660764,0.1480209305,70.356491947,70.936723332
5,TEMPNITE,69.198682168,0.2163409951,68.77466161,69.622702727
6,TEMPGONE,68.139873847,0.3524551774,67.449074393,68.830673301
6,TEMPHOME,70.628398567,0.2250353582,70.18733737,71.069459764
6,TEMPNITE,69.307722775,0.2798190787,68.759287458,69.856158091
7,TEMPGONE,68.267258422,0.4308546602,67.422798805,69.111718038
7,TEMPHOME,71.294284328,0.2076502407,70.887297334,71.701271321
7,TEMPNITE,69.861102407,0.1822018065,69.503993428,70.218211385
8,TEMPGONE,65.930505464,0.2915097891,65.359156776,66.501854152
8,TEMPHOME,69.249815901,0.3339041461,68.5953758,69.904256002
8,TEMPNITE,66.807758946,0.5517447459,65.726359116,67.889158777
9,TEMPGONE,67.41744208,0.831375042,65.78797694,69.04690722
9,TEMPHOME,70.828766849,0.4783201819,69.89127652,71.766257179
9,TEMPNITE,68.881581403,1.0884495774,66.748259432,71.014903373
10,TEMPGONE,65.340390845,0.1799544433,64.987686617,65.693095072
10,TEMPHOME,69.759334406,0.2215226628,69.325157965,70.193510847
10,TEMPNITE,66.543762971,0.2558000336,66.042404118,67.045121824
